question,ground_truth,reference_content,question_type,difficulty
请总结JPEG编码中MCU划分的规则，不同采样格式下MCU的尺寸和包含的8x8块数量。,I420格式：MCU大小16x16，包含4个8x8亮度块和2个8x8色度块；I422格式：MCU大小16x8，包含2个8x8亮度块和2个8x8色度块；I400格式：MCU大小8x8，只包含1个8x8亮度块；I444格式：MCU大小8x8，包含1个8x8亮度块和2个8x8色度块。,"将一帧图像按照raster扫描顺序划分成一个个MCU，图像采样格式不同，MCU的尺寸也不一样，MCU包含的8x8的块也不同。对于420格式的图像，MCU的大小是16x16，包含4个8x8亮度块和2个8x8色度块；对于422格式的图像，MCU的大小16x8，包含2个8x8亮度块和2个8x8色度块；对于400格式的图像，MCU的大小是8x8，只包含一个8x8亮度块；对于444格式的图像，MCU的大小是8x8，包含1个8x8亮度块和2个8x8色度块。
",事实查询,简单
请总结x265和x264在CABAC编码过程中上下文模型的初始化方法。,"每个上下文变量都要初始化概率状态索引pStateIdx和MPS值valMps。x265由initValue推导变量m和n，x264则直接给出m和n的值，由m和n计算pStatedIdx和valMps。
X265的推导过程如下：slopeIdx=initValue>>4，offsetIdx=initValue&15，m=slopeIdx*5-45，n=(offsetIdx<<3)-16，preCtxState=Clip3(1,126,((m*Clip3(0,51,SliceQPy))>>4)+n)，valMps=(preCtxState<=63)?0:1，pStateIdx=valMps?(preCtxState-64):(63-preeCtxState)。","第一个文档块：
对于每个上下文变量，都要初始化概率状态索引pStateIdx和MPS的值valMps。
X265中对每个上下文变量，首先都要给定一个初始值initValue，帧类型不同，initValue值也有所不同。由initValue推导出pStateIdx和valMps，推导过程如下：
slopeIdx = initValue >> 4
offsetIdx = initValue & 15
m = slopeIdx * 5 - 45
n = (offsetIdx << 3) - 16
preCtxState = Clip3(1, 126, ((m * Clip3(0, 51, SliceQPy)) >> 4) + n)
valMps = (preCtxState <= 63) ? 0 : 1
pStateIdx = valMps ? (preCtxState - 64) : (63 - preCtxState)
第二个文档块：
H264初始化上下文变量时要用到变量m和n，用m和n推导出两个变量pStateIdx和valMPS，推导过程与H265一致。帧类型不同，m和n的值也不同。同一帧，ctxIdx不同，m和n的值也不同。H264中共有460个ctxIdx。",事实查询,中等
请总结H.264中参考帧的标记方法。,标记方法有两种：自动滑窗法（FIFO方法，DPB满时移除picNum最小的短期参考帧）和自定义标记法。,"2） 参考图像的标记方法
自动滑窗法：即FIFO方法，当DPB满时，将DPB中picNum最小的短期参考（即最早的参考图像）移出DPB。
自定义标记法：根据语法元素memory_management_control_operation的值来指定将某一参考图像设置为何种类型的参考图像或者将其移出DPB。",事实查询,简单
请总结x264中整像素运动估计搜索过程的步骤。,第一步：以起始点为中心做步长为2的六边形搜索；第二步：如果六边形点都不是最优点，以起始点为中心做步长为1 的中间小菱形搜索；第三步：以起始点为中心做步长为1的中间小四边形搜索，从8个点和起始点中选出最优的作为MV。,"5、 第一步：以起始点为中心点进行六边形搜索，步长为2. 搜索点为(-2,0), (-1,2), (1,2), (2,0), (1,-2), (-1,-2);
第二步：如果这六个点都不是最优点，以起始点为中心、步长为1进行中间小菱形搜索，搜索点为(0,-1), (0,1), (-1,0), (1,0);
第三步：以起始点为中心、步长为1进行中间小四边形搜索，搜索点为(-1,-1), (-1,1), (1,-1), (1,1);
从这8个点中选出最优的，如果没有最优的，那最优点还是起始点。到这里停止整像素搜索。
",总结归纳,简单
请总结H264中帧内预测时参考像素滤波的处理规则。,"对宏块大小是8x8做帧内预测时才对参考像素做滤波处理，过程如下：
对于上方参考样点：p'[0,-1]根据p[-1,-1]是否可用Intra8x8预测采用不同权重计算；p'[x,-1]（x=1..7）使用三抽头滤波器(1,2,1)计算。对于左边参考样点：p'[-1,0]根据p[-1,-1]是否可用Intra8x8预测采用不同权重计算；p'[-1,y]（y=1..6）使用三抽头滤波器(1,2,1)计算。","档次为high的情况下，增加了8x8的帧内预测，8x8的帧内预测模式按照4x4的模式来做，
其过程如下：
1、 确定一个pred_mode.从左边和上方宏块中选择一个模式号小的作为pred_mode。在函数x264_mb_predict_intra4x4_mode中实现
2、 根据当前宏块是否有相邻宏块来确定predict_mode模式列表，在函数predict_8x8_mode_available实现，过程如下：
若没有相邻宏块，则predict_mode只有一个模式，即DC_128;
若只存在左边相邻块，则predict_mode为DC_LEFT、H、HU；
若只存在上边和右上相邻块，则predict_mode为DC_TOP、V、DDL、VL；
若存在左边、上边和左上相邻块，则predict_mode为9种方向模式；

3、 做预测之前，要对参考像素值做一下滤波处理。调用h->predict_8x8_filter函数指针，处理过程如下：
对于上方参考样点：
当 p[ x, −1 ]，x = 0..7 的所有样点都被标记为“可用于 Intra_8x8 预测”时，应用以下过程:
— p'[0,−1]的值由以下方式得到: 
— 如果p[ −1, −1 ]被标记为“可用于Intra_8x8预测”，则 
p'[ 0, −1 ] = ( p[ −1, −1 ] + 2 * p[ 0, −1 ] + p[ 1, −1 ] + 2 ) >> 2 
— 否则(p[ −1, −1 ]被标记为“不可用于Intra_8x8预测时”，)则
p'[ 0, −1 ] = ( 3 * p[ 0, −1 ] + p[ 1, −1 ] + 2 ) >> 2
— p'[x,−1]，x=1..7的值由以下方式得到:
p'[ x, −1 ] = ( p[ x−1, −1 ] + 2 * p[ x, −1 ] + p[ x+1, −1 ] + 2 ) >> 2
当 p[ x, −1 ]，x = 7..15 的所有样点都被标记为“可用于 Intra_8x8 预测”时，应用以下过程。 — p'[x,−1]，x=8..14的值由以下方式得到:
p'[ x, −1 ] = ( p[ x−1, −1 ] + 2 * p[ x, −1 ] + p[ x+1, −1 ] + 2 ) >> 2
— p'[15,−1]的值由以下方式得到:
p'[ 15, −1 ] = ( p[ 14, −1 ] + 3 * p[ 15, −1 ] + 2 ) >> 2 
对于左边参考样点：
当 p[ −1, −1 ]被标记为“可用于 Intra_8x8 预测”时，p'[ −1, −1 ]的值由以下方式得到:
— 如果p[ 0, −1 ] 被标记为“不可用于Intra_8x8预测”，或 p[ −1, 0 ] 被标记为“不可用于Intra_8x8预测”，以下方式适用:
— 如果p[ 0, −1 ]被标记为“可用于Intra_8x8预测”，则p[ −1, −1 ]为 
p'[ −1, −1 ] = ( 3 * p[ −1, −1 ] + p[ 0, −1 ] + 2 ) >> 2 
— 否则(p[ 0, −1 ] 被标记为“不可用于Intra_8x8预测”，并且p[ −1, 0 ] 被标记为“可用于Intra_8x8 预测”)，则p[ −1, −1 ]为
p'[ −1, −1 ] = ( 3 * p[ −1, −1 ] + p[ −1, 0 ] + 2) >> 2 
— 否则(样点p[ 0, −1 ]标记为“可用于Intra_8x8预测”并且样点p[ −1, 0 ]标记为“可用于Intra_8x8预 测”)，p'[ −1, −1 ]通过如下公式得到: 
p'[ −1, −1 ] = ( p[ 0, −1 ] + 2 * p[ −1, −1 ] + p[ −1, 0 ] + 2) >> 2
当所有 p[ −1, y ]，y = 0..7 的样点被标记为“可用于是 Intra_8x8 预测”时，应用如下规则: 
---p'[ −1, 0 ]的值由以下方式得到:
— 如果p[ −1, −1 ]被标记为“可用于Intra_8x8预测”，则 p'[ −1, 0 ] 为 
p[−1, 0 ] = ( p[ −1, −1 ] + 2 * p[ −1, 0 ] + p[ −1, 1 ] + 2 ) >> 2
— 否则(如果p[ −1, −1 ]被标记为“不可用于Intra_8x8预测”)，则 p'[ −1, 0 ]为 
p'[ −1, 0 ]=(3*p[-1,0] + p[-1,1] + 2)>>2
---p’[-1,y] , y=1..6的值为：
p’[-1,y] = (p[-1,y-1] + 2*p[-1,y] + p[-1,y+1] +2)>>2
---p’[-1,7]的值为：
p’[-1,7]=(p[-1,6] + 3*p[-1,7]+2)>>2
",总结归纳,简单
请总结x265中CTU中做帧内预测的递归调用逻辑。,CTU分割：先将64x64 CTU分割成4个32x32的CU，对每个CU递归调用compressIntraCU。分割后获取每个CU的原始YUV像素值。initSubCU根据CTU坐标和索引值确定子CU坐标。checkIntra进行方向模式预测。checkBestMode根据rdCost更新bestMode。copyPartFrom将子CU预测结果copy到父CU。addSubCosts累加子CU的数据存到父CU层。copyToPartYuv将子CU重构像素copy到父CU。copyToPic将best encData保存到CTU结构。,"compressIntraCU(const CUData& parentCTU, const CUGeom& cuGeom, int32_t qp)
输入的parentCTU=curEncData.getPicCTU(cuAddr)
cuGeom=m_cuGeom[m_ctuGeomMap[cuAddr]]

1、	CTU分割，首先将64x64CTU分割成4个32x32的CU，对每个CU递归调用compressIntraCU，直到不再分割；
2、	分割后，获取每个CU的原始YUV像素值，执行copyPartToYuv(), 将m_modeDepth[0].fencYuv.m_buf中的像素值copy到m_modeDepth[nextDepth].fencYuv.
m_buf。

3、	initSubCU(parentCTU)：根据CTU的坐标和cuGeom.absPartIdx确定子CU的坐标。

4、	checkIntra(): 方向模式预测，CU大小是8x8时，分别做2Nx2N和NxN的模式预测，输入modes是m_modeDepth[depth].pred[PRED_INTRA]，partSize是2Nx2N和m_modeDepth[depth].pred[PRED_INTRA_NxN]，partSize是NxN;
其他尺寸的CU，只做2Nx2N的模式预测，输入mode是m_modeDepth[depth].pred[PRED_INTRA]，partSize是2Nx2N。

5、	checkBestMode()：根据rdCost更新bestMode，存入m_modeDepth[depth].bestMode. bestMode结果存到Mode结构体

6、	copyPartFrom()：copy子CU的预测结果到上一层的父CU
cu的预测结果保存在CUData类
父CU：m_modeDepth[depth].pred[PRED_SPLIT].cu
子CU：m_modeDepth[depth+1].bestMode.cu

7、	addSubCosts()：将4个子CU的bestMode的数据累加起来，计算rdCost之和、失真之和、比特数之和，并存到父CU层的Mode结构体中；
父CU的Mode：m_modeDepth[depth].pred[PRED_SPLIT]
子CU的Mode：m_modeDepth[depth+1]].bestMode

8、	copyToPartYuv()：将子CU的重构像素值copy到父CU的结构中，即从
m_modeDepth[depth+1].bestMode->reconYuv.m_buf到
m_modeDepth[depth].pred[PRED_SPLIT]->reconYuv.m_buf

10、copyToPic()：将子CU的best encData信息保存到CTU结构中

11、copyToPicYuv()：将当前cu的重构像素值md.bestMode->reconYuv copy到m_frame->m_reconPic;",总结归纳,简单
请总结x264中宏块级QP自适应调整的原理，包括帧内和帧间的计算方式。,"帧内根据纹理复杂度SAD值做QP的调整，SAD值越小，纹理越平坦，使用较小QP，反之使用较大QP。帧内SAD值的计算方式如下：以4x4为单位计算SAD值，对每个CU大小累加内部4x4的SAD值。把前一帧保存的最大值、最小值、平均值分成14个区间，看当前CU在哪个区间，qp的偏移值就是哪个区间的索引。帧间根据运动状态SAD做QP的调整，SAD值越大表示运动越大，运动区域需要降低QP，静止区域无需调整。帧间SAD值的计算方式如下：CTU下采样后运动估计时计算4x4块的SAD，对应CU16的运动状态，再累加起来得到CU32和CU64的SAD值，把前一帧保存的SAD值的最大值和最小值分成6个区间，看当前CU的SAD值在哪个区间里，qp的偏移值就是哪个区间的索引值。qp最终的调整范围[-2,5]。","原有块级码控算法：x264/x265上自适应调整qp，是在lookahead中根据纹理复杂度计算qp偏移量，而纹理复杂度是通过计算宏块的方差、AC 能量等指标判断。计算量大，设计的这版芯片没有lookahead，在流程上不相符。现有算法计算简单，计算量小，所有SAD值是在CTU预测前计算得到。
帧内：用原始像素值计算SAD，根据SAD做纹理判断，SAD值越小，纹理越平坦，反之越复杂。根据人眼特性，平坦区域使用较小QP，复杂区域变化人眼感受不明显，使用较大QP。
1、以4x4为单位计算SAD值，对每个CU大小，将其内部的4x4的SAD值累加起来，计算64x64到8x8每个cu的SAD值。SAD值的计算过程：用原始像素值求平均值，原始像素值与平均值差值的绝对值之和。
depth=0 CU64x64 madi[0][0],256个4x4的SAD加起来
depth=1 CU32x32 madi[1][0..3]
depth=2 CU16x16 madi[2][0..15]
depth=3 CU8x8   madi[3][0..63]
depth=4 CU4x4   madi[4][0..255]
2、做自适应QP调整
1）需要保存前一帧8x8到64x64 CU的SAD值的最大值、最小值、平均值，如果是第一帧，则最大值、最小值、平均值给定一个初始值。
2）对每个深度的CU，将最小值和平均值分成7个区间，将平均值和最大值分成7个区间组成一组14个阈值。
3）将当前CU的SAD值对应到相应的区间，得到区间Idx。用Idx计算qp偏移值qpoffset。
4）最后qpoffset的取值范围是[-2,10]
帧间：通过CTU下采样后的运动估计计算SAD值来表示当前块的运动状态。SAD值越大，表示运动越大，运动区域容易编码不准确导致图像质量较差，需要降低QP，静止区域无需调整。
1、PME：将64x64CTU做4倍下采样得到16x16CU，用下采样后的CU做运动估计，得到最优的MV，用于整像素搜索的搜索起始点。运动估计过程中保存每个4x4块的SAD值。下采样域4x4的CU的运动状态对应原始CU16的运动状态，CU8的运动状态与CU16一致，CU32和CU64分别由CU16的值累加得到。
2、自适应调整QP
1）需要保存前一帧8x8到64x64 CU的SAD值的最大值和最小值。
2）对每个深度的CU，将最小值和最大值分成6个区间。
3）将当前CU的SAD值对应到相应的区间，得到区间Idx，然后计算qpoffset。
4）最后qpoffset的取值范围是[0,5]
qp=base_qp + intra_qpoffset – inter_qpoffset
qp的调整范围是[-2,5]。",总结归纳,简单
请对比JPEG中DC系数和AC系数的编码方式有何不同？为什么？,"DC系数采用差分编码（与同一分量上一个块的DC系数求差值），因为相邻块DC系数高度相关，差分编码可将大的数值变成很小的差值。AC系数采用游程编码（RLC），因为经过zigzag扫描后会出现连续多个0的情况，适合用(run,level)的方式编码。","第一个文档块：
量化之后，DC系数和AC系数分开处理。DC系数编码的值是当前块的DC量化系数与同一分量上一个块的DC量化系数的差值；
对AC系数采用zigzag扫描后可以出现很多连续为零的数，这个时候可以使用游程编码来处理。
第二个文档块：
4、为什么对DC系数进行差值编码？AC系数不这么做？
DC系数是低频分量，代表块的整体亮度/颜色平均值，相邻块高度相关，用差分编码可以把大的数变成很小的差值，大幅减少编码比特，提升压缩效率。
AC是高频分量，代表块的细节、纹理，相邻块之间相关性很低，差值不会明显变小，并且经过zigzag扫描之后会出现连续多个0的情况，所以适合用游程编码。",总结归纳,复杂
请对比分析x264中veryfast档位与medium/fast档位在帧间预测上的主要区别。,veryfast档位：先对P16x16/P8x8/P16x8/P8x16做运动估计选出最优分割模式，然后只对最优分割模式做1/4子像素搜索，只对luma做intra预测。medium/fast档位：运动估计过程做完1/2子像素搜索后，直接做1/4子像素搜索，对luma和chroma都做intra预测。,"第一个文档块：
P帧预测（medium和fast档位）
运动估计总的cost为：
cost = satd + cost_mv + i_ref_cost
medium档位下，i_subpel_refine=7，所以对于P帧，i_mbrd=1，
fast档位下，i_subpel_refine=6，对于P帧，i_mbrd=1
先做P16x16 ME，过程如下：
1、	获取MVP；
2、	创建MV的候选值---mvc；由lowres_mvs、空间相邻宏块的P16x16的MV、时域同位块的MV组成。
3、	计算MVP产生的cost；
4、	清除掉mvc中等于mvp和等于0的MV，留下有用的MV候选。若可用的MV候选数为0，则以MVP为起始点进行整像素运动搜索；若可用的MV候选数大于0，则从这些候选MV中选择产生的cost最小的一个MV作为整像素运动搜索的起始点。
5、	第一步：以起始点为中心点进行六边形搜索，步长为2. 搜索点为(-2,0), (-1,2), (1,2), (2,0), (1,-2), (-1,-2);
第二步：如果这六个点都不是最优点，以起始点为中心、步长为1进行中间小菱形搜索，搜索点为(0,-1), (0,1), (-1,0), (1,0);
第三步：以起始点为中心、步长为1进行中间小四边形搜索，搜索点为(-1,-1), (-1,1), (1,-1), (1,1);
从这8个点中选出最优的，如果没有最优的，那最优点还是起始点。到这里停止整像素搜索。步骤3--5计算cost是使用sad表示失真。
6、	子像素搜索和色度搜索。
第一步：计算1/2像素。使用菱形搜索。使用sad表示失真
第二步：计算1/4像素菱形搜索和色度搜索。使用satd表示失真。
第二个文档块：
veryfast档位下只有一个参考帧，i_subpel_refine=2，b_mixed_references=0,i_trellis=0,
i_mbrd=0,  b_try_skip=0
1、	判断四个相邻宏块的模式是否是skip，若有一个为skip模式，则调用x264_macroblock_probe_pskip()函数来提前判断当前宏块是否可为skip模式，若可以是skip模式，则当前宏块就是skip模式，不进行运动估计，跳过以下步骤，否则进行运动估计，执行以下步骤。若四个相邻都不是skip模式，也进行运动估计。
2、	进行P16x16运动估计。运动估计做完后保存MV和cost（l0.me16x16.cost），不做16x16宏块的RDO过程。
3、	进入mb_analyse_inter_p8x8函数执行8x8子宏块的运动估计，得到总的cost----l0.i_cost8x8。
4、	比较l0.i_cost8x8和l0.me16x16.cost的大小，若l0.i_cost8x8<l0.me16x16.cost，则此时的模式为P8x8，最优cost---i_cost= l0.i_cost8x8；否则，此时的模式为P_L0，i_cost= l0.me16x16.cost;
5、	计算阈值thresh16x8=l0.me8x8[1].cost_mv+l0.me8x8[2].cost_mv；
6、	判断条件：l0.i_cost8x8<l0.me16x16.cost+thresh16x8，若满足这个条件，则执行P16x8和P8x16 ME，P16x8和P8x16 ME与medium档位下过程一致；
7、	选出一个最优的分割方式。对最优的分割方式进行1/4像素点搜索，搜索过程只执行一次循环；
8、	执行亮度intra预测过程，不进行色度帧内预测；",对比分析,中等
请对比CABAC和Huffman编码在概率模型上的主要区别。,CABAC使用自适应概率模型，概率状态会随编码符号动态更新（通过64x4的LPS概率区间表和状态转换表）。Huffman编码使用静态概率模型，码表预先设计且整张图可共用，游程编码后符号的概率分布相对稳定。,"在CABAC中总是估计LPS的概率，且LPS所有的概率区间值都存储在一个表格里，共有64*4个值。如图5所示：
该过程为：
1）通过当前编码器区间范围ivlCurrRange得到其量化值qRangeIdx作为查表索引，然后利用状态索引pStateIdx与qRangeIdx进行查表得出LPS的概率区间大小ivlLpsRange.
2）根据要编码的符号是否是MPS来更新算术编码中的概率区间下限ivlLow以及区间范围ivlCurrRange。
3）更新上下文模型概率状态。
CABAC概率状态更新图如下图2.1（黑色实线代表输入的是MPS，红色虚线代表输入的是LPS），概率状态更新表如图2.2.
从概率状态更新过程来看，当前编码符号是MPS时，更新后的概率状态索引值是增加的，这表示下一个符号是MPS的概率增大，出现LPS的概率减小。state增加到62后，若再出现MPS，则state保持不变。当前编码符号是LPS时，更新后的概率状态索引值是减少的，这表示下一个符号是LPS的概率增大，出现MPS的概率减小。
当state=0时，表示MPS和LPS的概率相同，此时若出现LPS，则更新后的state仍是0，LPS和MPS的值互换。
当state=63意味着编码结束。
7、游程编码之后，每个码字的概率不一样，为什么能用一样的Huffman表编码？
游程编码输出的是(游程长度，非零系数)符号，这些符号的概率分布很稳定，所以JPEG可以预先涉及一个Huffman表，整张图、不同图可共用。",对比分析,复杂
